OBJECTID,Reported_Date,Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,Reported_Day,Reported_Month,Reported_Year,Date_Reported,weekday,month
1,5/6/2023 12:00,Non-Violent,Property,Theft Under $5000,123A ST/137 AV,6,5,2023,5/6/2023,Saturday,May
3,5/5/2023 12:00,Disorder,General Disorder,Trouble with Person,107 AV/116 ST,5,5,2023,5/5/2023,Friday,May
4,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,131A AV/132 ST,5,5,2023,5/5/2023,Friday,May
5,5/5/2023 12:00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,121 ST/139 AV,5,5,2023,5/5/2023,Friday,May
7,5/5/2023 12:00,Violent,Personal Violence,Assault,28 AV/LAKEWOOD TC,5,5,2023,5/5/2023,Friday,May
8,5/5/2023 12:00,Non-Violent,Property,Break and Enter Commercial,38 AV/76 ST,5,5,2023,5/5/2023,Friday,May
9,5/5/2023 12:00,Non-Violent,Property,Theft of Motor Vehicle,120 AV/85 ST,5,5,2023,5/5/2023,Friday,May
10,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,69A ST/97 AV,5,5,2023,5/5/2023,Friday,May
11,5/5/2023 12:00,Violent,Personal Violence,Assault,AUSTIN OBRIEN RD/AUSTIN OBRIEN RD,5,5,2023,5/5/2023,Friday,May
12,5/5/2023 12:00,Non-Violent,Property,Fraud - Financial,115 AV/KINGSWAY ,5,5,2023,5/5/2023,Friday,May
14,5/5/2023 12:00,Drugs,Drug Violations,Drugs,81 ST/82 AV,5,5,2023,5/5/2023,Friday,May
16,5/5/2023 12:00,Non-Violent,Property,Fraud General,109 AV/166A ST,5,5,2023,5/5/2023,Friday,May
17,5/5/2023 12:00,Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,136 AV/FORT RD,5,5,2023,5/5/2023,Friday,May
18,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,100 AV/107 ST,5,5,2023,5/5/2023,Friday,May
19,5/5/2023 12:00,Disorder,General Disorder,Trespassing,100 ST/102A AV,5,5,2023,5/5/2023,Friday,May
20,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,163 ST/97 AV,5,5,2023,5/5/2023,Friday,May
21,5/5/2023 12:00,Disorder,General Disorder,Trouble with Person,100 ST/105A AV,5,5,2023,5/5/2023,Friday,May
26,5/4/2023 12:00,Disorder,General Disorder,Trespassing,79 AV/79 AV,4,5,2023,5/4/2023,Thursday,May
27,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,109 ST/21 AV,4,5,2023,5/4/2023,Thursday,May
28,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,111 AV/111 AV,4,5,2023,5/4/2023,Thursday,May
29,5/4/2023 12:00,Non-Violent,Property,Break and Enter Residential,138 AV/70 ST,4,5,2023,5/4/2023,Thursday,May
30,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,21 ST/140 AV,4,5,2023,5/4/2023,Thursday,May
31,5/4/2023 12:00,Non-Violent,Property,Break and Enter Commercial,81 ST/86 AV,4,5,2023,5/4/2023,Thursday,May
32,5/4/2023 12:00,Non-Violent,Property,Internet Fraud,109 AV/94 ST,4,5,2023,5/4/2023,Thursday,May
33,5/4/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,110 ST/85 AV,4,5,2023,5/4/2023,Thursday,May
34,5/4/2023 12:00,Non-Violent,Property,Possession Stolen Property,109 AV/97 ST,4,5,2023,5/4/2023,Thursday,May
35,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,89 ST/CONNORS RD,4,5,2023,5/4/2023,Thursday,May
36,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,TREDGER CT/TREDGER CT,4,5,2023,5/4/2023,Thursday,May
37,5/4/2023 12:00,Non-Violent,Property,Fraud - Financial,104 AV/117 ST,4,5,2023,5/4/2023,Thursday,May
39,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,124 AV/97 ST,4,5,2023,5/4/2023,Thursday,May
40,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,110 ST/21 AV,4,5,2023,5/4/2023,Thursday,May
41,5/4/2023 12:00,Drugs,Drug Violations,Drugs,97 ST/JASPER AV,4,5,2023,5/4/2023,Thursday,May
42,5/4/2023 12:00,Disorder,General Disorder,Trouble with Person,GRIESBACH RD/GRIESBACH SCHOOL RD,4,5,2023,5/4/2023,Thursday,May
43,5/4/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,118 AV/89 ST,4,5,2023,5/4/2023,Thursday,May
44,5/4/2023 12:00,Non-Violent,Property,Theft Over $5000,106 ST/84 AV,4,5,2023,5/4/2023,Thursday,May
45,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,106A AV/96 ST,4,5,2023,5/4/2023,Thursday,May
46,5/4/2023 12:00,Disorder,General Disorder,Trouble with Person,59 ST/148 AV,4,5,2023,5/4/2023,Thursday,May
47,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,137 AV/50 ST,4,5,2023,5/4/2023,Thursday,May
48,5/4/2023 12:00,Non-Violent,Property,Break and Enter Residential,105 ST/JASPER AV,4,5,2023,5/4/2023,Thursday,May
50,5/4/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,102 AV/106 ST,4,5,2023,5/4/2023,Thursday,May
52,5/4/2023 12:00,Drugs,Drug Violations,Drugs,114 ST/NOT NAMED RD,4,5,2023,5/4/2023,Thursday,May
53,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,123A ST/137 AV,4,5,2023,5/4/2023,Thursday,May
54,5/4/2023 12:00,Disorder,General Disorder,Suspicious Person,52A ST SW/21A AV SW,4,5,2023,5/4/2023,Thursday,May
55,5/4/2023 12:00,Disorder,General Disorder,Trouble with Person,96 ST/102 AV,4,5,2023,5/4/2023,Thursday,May
56,5/3/2023 12:00,Disorder,Disputes/Disturbances,Dispute,108 ST/129 AV,3,5,2023,5/3/2023,Wednesday,May
57,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,104A ST/104A AV,3,5,2023,5/3/2023,Wednesday,May
58,5/3/2023 12:00,Disorder,General Disorder,Trouble with Person,108 AV/115 ST,3,5,2023,5/3/2023,Wednesday,May
59,5/3/2023 12:00,Disorder,General Disorder,Trouble with Person,102 AV/162 ST,3,5,2023,5/3/2023,Wednesday,May
60,5/3/2023 12:00,Non-Violent,Property,Theft of Motor Vehicle,36A AV/64 ST,3,5,2023,5/3/2023,Wednesday,May
61,5/3/2023 12:00,Disorder,General Disorder,Trouble with Person,12A AV/37 ST,3,5,2023,5/3/2023,Wednesday,May
62,5/3/2023 12:00,Non-Violent,Property,Theft of Motor Vehicle,129 AV/50 ST,3,5,2023,5/3/2023,Wednesday,May
63,5/3/2023 12:00,Disorder,General Disorder,Trouble with Person,115 ST/44A AV,3,5,2023,5/3/2023,Wednesday,May
66,5/3/2023 12:00,Violent,Personal Violence,Assault,82 AV/99 ST,3,5,2023,5/3/2023,Wednesday,May
67,5/3/2023 12:00,Non-Violent,Property,Break and Enter Commercial,67 ST/127 AV,3,5,2023,5/3/2023,Wednesday,May
68,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,139 AV/26 ST,3,5,2023,5/3/2023,Wednesday,May
69,5/3/2023 12:00,Non-Violent,Property,Fraud - Financial,38 AV/GRAND MEADOW CR,3,5,2023,5/3/2023,Wednesday,May
71,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,102 ST/111 AV,3,5,2023,5/3/2023,Wednesday,May
72,5/6/2023 12:00,Non-Violent,Property,Theft Under $5000,123A ST/137 AV,6,5,2023,5/6/2023,Saturday,May
73,5/6/2023 12:00,Non-Violent,Property,Theft Under $5000,102 ST/158 AV,6,5,2023,5/6/2023,Saturday,May
74,5/6/2023 12:00,Non-Violent,Property,Theft Under $5000,122 AV/SHERBROOKE AV,6,5,2023,5/6/2023,Saturday,May
76,5/5/2023 12:00,Non-Violent,Property,Fraud - Financial,107 AV/110 ST,5,5,2023,5/5/2023,Friday,May
77,5/5/2023 12:00,Weapons,Weapons Violations,Weapons Complaint,102 ST/105 AV,5,5,2023,5/5/2023,Friday,May
78,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,106 AV/79 ST,5,5,2023,5/5/2023,Friday,May
79,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,109 ST/21 AV,5,5,2023,5/5/2023,Friday,May
81,5/5/2023 12:00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,123 ST/121 AV,5,5,2023,5/5/2023,Friday,May
82,5/5/2023 12:00,Violent,Personal Violence,Assault,137 AV/97 ST,5,5,2023,5/5/2023,Friday,May
83,5/5/2023 12:00,Non-Violent,Property,Theft of Motor Vehicle,74 ST/95 AV,5,5,2023,5/5/2023,Friday,May
84,5/5/2023 12:00,Non-Violent,Counterfeiting/Gaming and Betting,Counterfeit Money,131 AV/FORT RD,5,5,2023,5/5/2023,Friday,May
85,5/5/2023 12:00,Disorder,General Disorder,Trespassing,YELLOWHEAD TR/YELLOWHEAD TR,5,5,2023,5/5/2023,Friday,May
86,5/5/2023 12:00,Disorder,Disputes/Disturbances,Dispute,109 ST/99 AV,5,5,2023,5/5/2023,Friday,May
87,5/5/2023 12:00,Non-Violent,Property,Fire Arson,41 ST/26 AV,5,5,2023,5/5/2023,Friday,May
88,5/5/2023 12:00,Violent,Personal Violence,Assault,102A AV/99 ST,5,5,2023,5/5/2023,Friday,May
89,5/5/2023 12:00,Violent,Personal Violence,Assault,130 AV/50 ST,5,5,2023,5/5/2023,Friday,May
90,5/5/2023 12:00,Non-Violent,Property,Break and Enter Commercial,81 AV/GATEWAY BV,5,5,2023,5/5/2023,Friday,May
91,5/5/2023 12:00,Disorder,General Disorder,Trouble with Person,131 AV/131 AV,5,5,2023,5/5/2023,Friday,May
92,5/5/2023 12:00,Non-Violent,Property,Theft of Motor Vehicle,202 ST/48 AV,5,5,2023,5/5/2023,Friday,May
93,5/5/2023 12:00,Non-Violent,Property,Fraud General,175 AV/95 ST,5,5,2023,5/5/2023,Friday,May
94,5/5/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,68 AV/99 ST,5,5,2023,5/5/2023,Friday,May
96,5/5/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,82 AV/82 AV,5,5,2023,5/5/2023,Friday,May
97,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,123A ST/138 AV,5,5,2023,5/5/2023,Friday,May
98,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,119A ST SW/RUTHERFORD RD SW,5,5,2023,5/5/2023,Friday,May
100,5/5/2023 12:00,Disorder,General Disorder,Trouble with Person,108 ST/108 ST,5,5,2023,5/5/2023,Friday,May
101,5/5/2023 12:00,Disorder,Provincial Statute Violations,Intoxicated Person,104 AV/156 ST,5,5,2023,5/5/2023,Friday,May
102,5/5/2023 12:00,Non-Violent,Property,Fire Arson,115 AV/117 ST,5,5,2023,5/5/2023,Friday,May
104,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,50 ST/MANNING DR,5,5,2023,5/5/2023,Friday,May
105,5/5/2023 12:00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,149 ST/149 ST,5,5,2023,5/5/2023,Friday,May
106,5/4/2023 12:00,Violent,Personal Violence,Assault,101 ST/103 AV,4,5,2023,5/4/2023,Thursday,May
107,5/4/2023 12:00,Disorder,Disputes/Disturbances,Disturbance,106 ST/31 AV,4,5,2023,5/4/2023,Thursday,May
108,5/4/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,105A AV/93 ST,4,5,2023,5/4/2023,Thursday,May
109,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,107 AV/109 ST,4,5,2023,5/4/2023,Thursday,May
110,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,170 ST/90 AV,4,5,2023,5/4/2023,Thursday,May
111,5/4/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,38 AV/MILLBOURNE RD,4,5,2023,5/4/2023,Thursday,May
112,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,104 ST/82 AV,4,5,2023,5/4/2023,Thursday,May
113,5/4/2023 12:00,Violent,Personal Violence,Assault,CASTLE DOWNS RD/CASTLE DOWNS RD,4,5,2023,5/4/2023,Thursday,May
114,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,135 AV/57 ST,4,5,2023,5/4/2023,Thursday,May
116,5/4/2023 12:00,Disorder,General Disorder,Trouble with Person,STADIUM RD/STADIUM RD,4,5,2023,5/4/2023,Thursday,May
117,5/4/2023 12:00,Violent,Personal Violence,Robbery Personal,STADIUM RD/STADIUM RD,4,5,2023,5/4/2023,Thursday,May
118,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,111B ST/38 AV,4,5,2023,5/4/2023,Thursday,May
119,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,ST ALBERT TR/ST ALBERT TR,4,5,2023,5/4/2023,Thursday,May
121,5/4/2023 12:00,Non-Violent,Property,Fraud General,104 ST/JASPER AV,4,5,2023,5/4/2023,Thursday,May
122,5/4/2023 12:00,Non-Violent,Property,Internet Fraud,107 ST/47 AV,4,5,2023,5/4/2023,Thursday,May
123,5/4/2023 12:00,Non-Violent,Property,Break and Enter Commercial,177 ST/69 AV,4,5,2023,5/4/2023,Thursday,May
125,5/4/2023 12:00,Disorder,General Disorder,Trouble with Person,106A AV/96 ST,4,5,2023,5/4/2023,Thursday,May
126,5/4/2023 12:00,Violent,Personal Violence,Assault,127 ST/185 AV,4,5,2023,5/4/2023,Thursday,May
127,5/4/2023 12:00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,105 ST/107 AV,4,5,2023,5/4/2023,Thursday,May
128,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,107 ST/JASPER AV,4,5,2023,5/4/2023,Thursday,May
129,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,153 AV/37 ST,4,5,2023,5/4/2023,Thursday,May
130,5/4/2023 12:00,Non-Violent,Property,Break and Enter Residential,104 AV/105 ST,4,5,2023,5/4/2023,Thursday,May
132,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,123A ST/137 AV,4,5,2023,5/4/2023,Thursday,May
133,5/4/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,94A AV/94A AV,4,5,2023,5/4/2023,Thursday,May
134,5/4/2023 12:00,Non-Violent,Property,Internet Fraud,129 AV/71 ST,4,5,2023,5/4/2023,Thursday,May
135,5/3/2023 12:00,Non-Violent,Property,Break and Enter Commercial,118 AV/125 ST,3,5,2023,5/3/2023,Wednesday,May
136,5/3/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,72 ST/33 AV,3,5,2023,5/3/2023,Wednesday,May
137,5/3/2023 12:00,Non-Violent,Property,Break and Enter Residential,116 AV/89 ST,3,5,2023,5/3/2023,Wednesday,May
138,5/3/2023 12:00,Disorder,General Disorder,Trouble with Person,107 ST/105 AV,3,5,2023,5/3/2023,Wednesday,May
139,5/3/2023 12:00,Disorder,General Disorder,Trouble with Person,106 ST/118 AV,3,5,2023,5/3/2023,Wednesday,May
140,5/3/2023 12:00,Disorder,General Disorder,Suspicious Person,BOWMAN PT SW/BOWMAN PT SW,3,5,2023,5/3/2023,Wednesday,May
141,5/3/2023 12:00,Disorder,Provincial Statute Violations,Intoxicated Person,188 ST/95A AV,3,5,2023,5/3/2023,Wednesday,May
142,5/3/2023 12:00,Violent,Personal Violence,Assault,103 ST/106 AV,3,5,2023,5/3/2023,Wednesday,May
145,5/6/2023 12:00,Disorder,Provincial Statute Violations,Intoxicated Person,102 ST/102 ST,6,5,2023,5/6/2023,Saturday,May
146,5/6/2023 12:00,Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,146 AV/52 ST,6,5,2023,5/6/2023,Saturday,May
147,5/5/2023 12:00,Violent,Personal Violence,Assault,101 ST/BELLAMY HL,5,5,2023,5/5/2023,Friday,May
148,5/5/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,107 ST/108 AV,5,5,2023,5/5/2023,Friday,May
149,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,106 AV/79 ST,5,5,2023,5/5/2023,Friday,May
150,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,123 ST/107 AV,5,5,2023,5/5/2023,Friday,May
151,5/5/2023 12:00,Non-Violent,Property,Theft of Motor Vehicle,17 AV/17 AV,5,5,2023,5/5/2023,Friday,May
152,5/5/2023 12:00,Disorder,Disputes/Disturbances,Dispute,37 AV/86 ST,5,5,2023,5/5/2023,Friday,May
153,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,104 ST/JASPER AV,5,5,2023,5/5/2023,Friday,May
154,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,WARWICK CR/WARWICK RD,5,5,2023,5/5/2023,Friday,May
155,5/5/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,THOMPSON CT/THOROGOOD LN,5,5,2023,5/5/2023,Friday,May
157,5/5/2023 12:00,Disorder,General Disorder,Trouble with Person,131 AV/131 AV,5,5,2023,5/5/2023,Friday,May
159,5/5/2023 12:00,Disorder,General Disorder,Suspicious Person,121 AV/64 ST,5,5,2023,5/5/2023,Friday,May
161,5/5/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,121 ST/133A AV,5,5,2023,5/5/2023,Friday,May
162,5/5/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,105 AV/109 ST,5,5,2023,5/5/2023,Friday,May
163,5/5/2023 12:00,Disorder,Disputes/Disturbances,Dispute,222 ST/STONY PLAIN RD,5,5,2023,5/5/2023,Friday,May
164,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,108 ST/JASPER AV,5,5,2023,5/5/2023,Friday,May
165,5/5/2023 12:00,Disorder,General Disorder,Trouble with Person,HERMITAGE RD/VICTORIA TR,5,5,2023,5/5/2023,Friday,May
166,5/5/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,114 ST/NOT NAMED RD,5,5,2023,5/5/2023,Friday,May
167,5/5/2023 12:00,Disorder,Disputes/Disturbances,Dispute,111A AV/113 ST,5,5,2023,5/5/2023,Friday,May
169,5/5/2023 12:00,Violent,Personal Violence,Assault,164 AV/84 ST,5,5,2023,5/5/2023,Friday,May
172,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,CALGARY TR/CALGARY TR,4,5,2023,5/4/2023,Thursday,May
173,5/4/2023 12:00,Disorder,General Disorder,Trouble with Person,128 AV/96 ST,4,5,2023,5/4/2023,Thursday,May
174,5/4/2023 12:00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,128A AV/131 AV,4,5,2023,5/4/2023,Thursday,May
175,5/4/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,100 AV/147 ST,4,5,2023,5/4/2023,Thursday,May
176,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,170 ST/95 AV,4,5,2023,5/4/2023,Thursday,May
178,5/4/2023 12:00,Disorder,Disputes/Disturbances,Dispute,113 ST/31 AV,4,5,2023,5/4/2023,Thursday,May
179,5/4/2023 12:00,Non-Violent,Property,Fire Arson,38 AV/MILL WOODS RD,4,5,2023,5/4/2023,Thursday,May
180,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,14 AV/48A ST,4,5,2023,5/4/2023,Thursday,May
181,5/4/2023 12:00,Disorder,Disputes/Disturbances,Disturbance,120 AV/66 ST,4,5,2023,5/4/2023,Thursday,May
182,5/4/2023 12:00,Disorder,General Disorder,Trouble with Person,110A AV/110A AV,4,5,2023,5/4/2023,Thursday,May
183,5/4/2023 12:00,Violent,Personal Violence,Assault,140 AV/92 ST,4,5,2023,5/4/2023,Thursday,May
184,5/4/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,90A ST/135 AV,4,5,2023,5/4/2023,Thursday,May
185,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,104 ST/27 AV,4,5,2023,5/4/2023,Thursday,May
186,5/4/2023 12:00,Non-Violent,Property,Theft of Motor Vehicle,100 AV/184 ST,4,5,2023,5/4/2023,Thursday,May
187,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,WHITELAW BA/WHITELAW BA,4,5,2023,5/4/2023,Thursday,May
188,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,123A ST/138 AV,4,5,2023,5/4/2023,Thursday,May
189,5/4/2023 12:00,Disorder,General Disorder,Trouble with Person,149A AV/69 ST,4,5,2023,5/4/2023,Thursday,May
190,5/4/2023 12:00,Disorder,Provincial Statute Violations,Intoxicated Person,102 AV/109 ST,4,5,2023,5/4/2023,Thursday,May
191,5/4/2023 12:00,Disorder,General Disorder,Trespassing,28 AV/MILL WOODS REC CENTRE ,4,5,2023,5/4/2023,Thursday,May
192,5/4/2023 12:00,Disorder,General Disorder,Trouble with Person,111 AV/111 AV,4,5,2023,5/4/2023,Thursday,May
193,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,WINDERMERE WY SW/WINDERMERE WY SW,4,5,2023,5/4/2023,Thursday,May
194,5/4/2023 12:00,Disorder,General Disorder,Trouble with Person,121 AV/89 ST,4,5,2023,5/4/2023,Thursday,May
196,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,122 ST/STONY PLAIN RD,4,5,2023,5/4/2023,Thursday,May
198,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,213 ST/WEBBER GREENS DR,4,5,2023,5/4/2023,Thursday,May
199,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,137 AV/50 ST,4,5,2023,5/4/2023,Thursday,May
200,5/4/2023 12:00,Disorder,Mischief/Graffiti,Graffiti,123A ST/137 AV,4,5,2023,5/4/2023,Thursday,May
201,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,123A ST/137 AV,4,5,2023,5/4/2023,Thursday,May
202,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,100 ST/105A AV,4,5,2023,5/4/2023,Thursday,May
203,5/3/2023 12:00,Weapons,Weapons Violations,Weapons Complaint,96 ST/105A AV,3,5,2023,5/3/2023,Wednesday,May
204,5/3/2023 12:00,Disorder,General Disorder,Trouble with Person,102 ST/104 AV,3,5,2023,5/3/2023,Wednesday,May
206,5/3/2023 12:00,Disorder,General Disorder,Trouble with Person,102 AV/118 ST,3,5,2023,5/3/2023,Wednesday,May
207,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,134A AV/58 ST,3,5,2023,5/3/2023,Wednesday,May
208,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,170 ST/95 AV,3,5,2023,5/3/2023,Wednesday,May
209,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,44 AV/44 AV,3,5,2023,5/3/2023,Wednesday,May
211,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,185 ST/77 AV,3,5,2023,5/3/2023,Wednesday,May
212,5/3/2023 12:00,Disorder,General Disorder,Suspicious Vehicle,85 ST/88 AV,3,5,2023,5/3/2023,Wednesday,May
213,5/3/2023 12:00,Non-Violent,Property,Break and Enter Commercial,130 AV/50 ST,3,5,2023,5/3/2023,Wednesday,May
214,5/3/2023 12:00,Non-Violent,Property,Break and Enter Residential,117 ST/UNIVERSITY AV,3,5,2023,5/3/2023,Wednesday,May
215,5/3/2023 12:00,Violent,Personal Violence,Assault,STONY PLAIN RD/151 ST,3,5,2023,5/3/2023,Wednesday,May
216,5/3/2023 12:00,Non-Violent,Property,Break and Enter Residential,GRAND MEADOW CR/GRAND MEADOW CR,3,5,2023,5/3/2023,Wednesday,May
217,5/3/2023 12:00,Non-Violent,Property,Theft of Motor Vehicle,118 AV/127 ST,3,5,2023,5/3/2023,Wednesday,May
218,5/3/2023 12:00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,118A ST/74 AV,3,5,2023,5/3/2023,Wednesday,May
219,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,75 ST/WAGNER RD,3,5,2023,5/3/2023,Wednesday,May
220,5/3/2023 12:00,Non-Violent,Property,Internet Fraud,128 AV/97 ST,3,5,2023,5/3/2023,Wednesday,May
221,5/3/2023 12:00,Non-Violent,Property,Theft of Motor Vehicle,126 AV/129 ST,3,5,2023,5/3/2023,Wednesday,May
222,5/3/2023 12:00,Non-Violent,Property,Internet Fraud,36B AV/75 ST,3,5,2023,5/3/2023,Wednesday,May
223,5/3/2023 12:00,Non-Violent,Property,Theft of Motor Vehicle,104 ST/LAUDERDALE RD,3,5,2023,5/3/2023,Wednesday,May
224,5/3/2023 12:00,Drugs,Drug Violations,Drugs,17 AV/94 ST,3,5,2023,5/3/2023,Wednesday,May
225,5/3/2023 12:00,Non-Violent,Property,Break and Enter Residential,51 ST/MCLEOD RD,3,5,2023,5/3/2023,Wednesday,May
228,5/3/2023 12:00,Non-Violent,Property,Possession Stolen Property,169 ST/83 AV,3,5,2023,5/3/2023,Wednesday,May
229,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,GOODRIDGE LK/GOODRIDGE LK,3,5,2023,5/3/2023,Wednesday,May
230,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,90 AV/90 AV,3,5,2023,5/3/2023,Wednesday,May
231,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,NOT NAMED RD/NOT NAMED RD,3,5,2023,5/3/2023,Wednesday,May
232,5/3/2023 12:00,Disorder,Disputes/Disturbances,Dispute,ABBOTT CR SW/ABBOTT WY SW,3,5,2023,5/3/2023,Wednesday,May
233,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,102 AV/114 ST,3,5,2023,5/3/2023,Wednesday,May
234,5/3/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,102 AV/151 ST,3,5,2023,5/3/2023,Wednesday,May
235,5/3/2023 12:00,Violent,Personal Violence,Assault,97 ST/97 ST,3,5,2023,5/3/2023,Wednesday,May
236,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,111 AV/KINGSWAY ,3,5,2023,5/3/2023,Wednesday,May
237,5/3/2023 12:00,Disorder,General Disorder,Trouble with Person,129 AV/64 ST,3,5,2023,5/3/2023,Wednesday,May
239,5/3/2023 12:00,Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,3,5,2023,5/3/2023,Wednesday,May
242,5/2/2023 12:00,Non-Violent,Property,Theft Under $5000,109 ST/23 AV,2,5,2023,5/2/2023,Tuesday,May
243,5/2/2023 12:00,Non-Violent,Property,Theft Under $5000,11 AV/10 AV,2,5,2023,5/2/2023,Tuesday,May
244,5/2/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,117 AV/124 ST,2,5,2023,5/2/2023,Tuesday,May
245,5/2/2023 12:00,Non-Violent,Property,Possession Stolen Property,122 AV/127 ST,2,5,2023,5/2/2023,Tuesday,May
246,5/2/2023 12:00,Violent,Personal Violence,Assault,132 AV/91 ST,2,5,2023,5/2/2023,Tuesday,May
247,5/2/2023 12:00,Non-Violent,Property,Theft of Motor Vehicle,106 AV/153 ST,2,5,2023,5/2/2023,Tuesday,May
248,5/2/2023 12:00,Weapons,Weapons Violations,Weapons Complaint Firearm,150 AV/151 AV,2,5,2023,5/2/2023,Tuesday,May
249,5/2/2023 12:00,Non-Violent,Property,Internet Fraud,89 AV/57 ST,2,5,2023,5/2/2023,Tuesday,May
250,5/2/2023 12:00,Non-Violent,Property,Theft Under $5000,128 AV/85 ST,2,5,2023,5/2/2023,Tuesday,May
251,5/2/2023 12:00,Non-Violent,Property,Fraud General,145 ST/87 AV,2,5,2023,5/2/2023,Tuesday,May
